country_code,year,NE.CON.PRVT.PC.KD,NY.GDP.PCAP.KD
ABW,1960,NA,NA
ABW,1961,NA,NA
ABW,1962,NA,NA
ABW,1963,NA,NA
ABW,1964,NA,NA
ABW,1965,NA,NA
ABW,1966,NA,NA
ABW,1967,NA,NA
ABW,1968,NA,NA
ABW,1969,NA,NA
ABW,1970,NA,NA
ABW,1971,NA,NA
ABW,1972,NA,NA
ABW,1973,NA,NA
ABW,1974,NA,NA
ABW,1975,NA,NA
ABW,1976,NA,NA
ABW,1977,NA,NA
ABW,1978,NA,NA
ABW,1979,NA,NA
ABW,1980,NA,NA
ABW,1981,NA,NA
ABW,1982,NA,NA
ABW,1983,NA,NA
ABW,1984,NA,NA
ABW,1985,NA,NA
ABW,1986,NA,15221.8506766724
ABW,1987,NA,17697.5234495471
ABW,1988,NA,21036.3874477136
ABW,1989,NA,23491.6646758167
ABW,1990,NA,24007.4957081744
ABW,1991,NA,25097.2721099909
ABW,1992,NA,25692.2384598819
ABW,1993,NA,26743.7228041228
ABW,1994,NA,28027.5156353729
ABW,1995,NA,27868.5430751046
ABW,1996,NA,27358.5421213954
ABW,1997,NA,28413.1440057025
ABW,1998,NA,28121.3155796027
ABW,1999,NA,27646.1956456575
ABW,2000,NA,29005.9333738747
ABW,2001,NA,29693.1399149667
ABW,2002,NA,29059.4865095137
ABW,2003,NA,29093.5782378862
ABW,2004,NA,30931.9364997363
ABW,2005,NA,30505.3391939872
ABW,2006,NA,30490.3658419122
ABW,2007,NA,31051.0015717696
ABW,2008,NA,31230.193038317
ABW,2009,NA,27243.3332022516
ABW,2010,NA,26200.7273001561
ABW,2011,NA,26829.634480299
ABW,2012,NA,26337.5850592423
ABW,2013,NA,27821.7915999069
ABW,2014,NA,27624.3773003771
ABW,2015,15727.1435440237,28421.3864931862
ABW,2016,NA,28852.2370667381
ABW,2017,NA,30270.9416008153
ABW,2018,NA,31705.2790531117
ABW,2019,NA,31762.7340256358
ABW,2020,NA,25823.634823564
ABW,2021,NA,30271.8334746536
AFE,1960,NA,1176.68491136631
AFE,1961,NA,1148.91405204586
AFE,1962,NA,1207.64804978767
AFE,1963,NA,1235.9798711601
AFE,1964,NA,1257.34070970236
AFE,1965,NA,1287.75014160351
AFE,1966,NA,1301.53149096908
AFE,1967,NA,1332.22236517896
AFE,1968,NA,1347.0453581606
AFE,1969,NA,1378.19978288094
AFE,1970,NA,1402.06678653947
AFE,1971,NA,1435.58277580195
AFE,1972,NA,1425.58119525391
AFE,1973,NA,1446.93774446832
AFE,1974,NA,1487.72799874321
AFE,1975,NA,1469.72222504503
AFE,1976,NA,1468.04099711696
AFE,1977,NA,1444.62986041445
AFE,1978,NA,1417.03107400081
AFE,1979,NA,1412.35380823927
AFE,1980,NA,1445.95879564816
AFE,1981,NA,1464.37590974433
AFE,1982,797.901010989161,1427.25835300349
AFE,1983,789.684175331978,1387.76116603231
AFE,1984,794.386809919771,1388.7751208817
AFE,1985,740.470470343456,1342.73479740005
AFE,1986,726.385585389844,1333.24287252251
AFE,1987,733.528373023784,1348.52099232377
AFE,1988,751.795926710284,1362.8723068975
AFE,1989,755.65330006419,1363.73406543419
AFE,1990,757.062816589699,1324.72612895531
AFE,1991,745.482575817698,1290.20878794605
AFE,1992,724.619205911289,1232.4135770321
AFE,1993,721.716379641484,1195.84329395307
AFE,1994,725.096278065664,1188.90424452964
AFE,1995,750.086034524174,1208.26859589476
AFE,1996,759.08009321543,1240.51806700608
AFE,1997,766.128079379725,1262.92044705139
AFE,1998,776.560936523061,1254.68312634815
AFE,1999,775.288551109228,1255.81621170644
AFE,2000,773.70208761373,1265.24733780184
AFE,2001,782.002887627907,1278.3606236054
AFE,2002,784.095974229633,1294.54034226864
AFE,2003,797.265931046067,1300.57393215501
AFE,2004,823.044428906702,1336.84159640334
AFE,2005,851.557838823085,1381.77376026899
AFE,2006,896.662914825944,1433.69054422622
AFE,2007,921.761734789092,1487.01651360209
AFE,2008,914.910868917361,1509.2519975841
AFE,2009,904.752098446699,1478.25608940204
AFE,2010,931.831941837611,1513.34607613598
AFE,2011,930.787419054997,1527.51653729881
AFE,2012,946.682052903446,1499.24452306608
AFE,2013,959.550133081984,1520.26718854789
